cp2011,occupation_title_ita,n_employed,isco08,occupation_title,Manual Dexterity,Finger Dexterity,Performing General Physical Activities,Handling and Moving Objects,"Inspecting Equipment, Structures, or Material","Operating Vehicles, Mechanized Devices, or Equipment",Selling or Influencing Others,Training and Teaching Others,Assisting and Caring for Others,Performing for or Working Directly with the Public,Coordinate the work and tasks of others,Communicating with Persons Outside Organization,Establishing and Maintaining Interpersonal Relationships
1.1.1.1.0,Membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare,757.1,111,Legislators and senior officials,15,15,0,5,15,0,20,35,30,65,65,80,90
1.1.1.2.0,Membri di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare,309.55,111,Legislators and senior officials,5,5,16.666666666666668,3.3333333333333335,1.6666666666666667,0,0,26.666666666666668,31.666666666666668,45,46.666666666666664,45,53.333333333333336
1.1.1.3.0,Membri di organismi di governo e di assemblee provinciali con potestà regolamentare,255.2,111,Legislators and senior officials,2.5,2.5,3.75,3.75,17.5,1.25,2.5,31.25,40,38.75,58.75,81.25,85
1.1.1.4.0,Membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare,4795.549999999998,111,Legislators and senior officials,3.9473684210526314,2.6315789473684212,0,0,3.9473684210526314,0,6.578947368421052,31.57894736842105,31.57894736842105,60.526315789473685,64.47368421052632,81.57894736842105,86.84210526315789
1.1.2.1.0,"Ambasciatori, ministri plenipotenziari ed alti dirigenti della carriera diplomatica",500.35,111,Legislators and senior officials,3.5714285714285716,5.357142857142857,0,3.5714285714285716,10.714285714285714,0,23.214285714285715,55.357142857142854,35.714285714285715,69.64285714285714,100,100,100
1.1.2.2.1,"Commissari di governo, prefetti e vice prefetti",149.8326039675,111,Legislators and senior officials,4.3478260869565215,4.3478260869565215,4.3478260869565215,3.260869565217391,10.869565217391305,0,10.869565217391305,47.82608695652174,30.434782608695652,38.04347826086956,85.8695652173913,96.73913043478261,94.56521739130434
1.1.2.2.2,"Capi e vice capi della polizia di stato, questori ed alti responsabili della sicurezza pubblica",3443.9888349450002,111,Legislators and senior officials,0,0,10.714285714285714,10.714285714285714,36.904761904761905,0,3.5714285714285716,54.76190476190476,30.952380952380953,28.571428571428573,98.80952380952381,94.04761904761905,96.42857142857143
1.1.2.2.3,Segretari generali e responsabili del controllo e della gestione nella amministrazione pubblica,2163.9285610875,111,Legislators and senior officials,2.5,2.5,2.5,1.25,2.5,0,6.25,55,27.5,13.75,77.5,73.75,86.25
1.1.3.1.0,Dirigenti della magistratura ordinaria,1423.475,111,Legislators and senior officials,1.4705882352941178,1.4705882352941178,1.4705882352941178,0,4.411764705882353,0,0,44.11764705882353,25,54.411764705882355,80.88235294117646,77.94117647058823,79.41176470588235
1.1.3.2.0,Dirigenti della magistratura amministrativa e delle giurisdizioni speciali,234.925,111,Legislators and senior officials,0,0,2.6315789473684212,2.6315789473684212,17.105263157894736,1.3157894736842106,2.6315789473684212,43.421052631578945,35.526315789473685,30.263157894736842,65.78947368421052,64.47368421052632,68.42105263157895
1.1.4.1.1,Dirigenti di partiti e movimenti politici,425.147035700875,111,Legislators and senior officials,18.42105263157895,18.42105263157895,9.210526315789474,6.578947368421052,18.42105263157895,14.473684210526315,11.842105263157896,46.05263157894737,38.1578947368421,71.05263157894737,64.47368421052632,84.21052631578948,90.78947368421052
1.1.4.1.2,Dirigenti di sindacati e altre organizzazioni a tutela di interessi economici e sociali,7219.477964299124,111,Legislators and senior officials,1.25,1.25,5,3.75,11.25,0,21.25,63.75,41.25,66.25,72.5,85,83.75
1.1.4.2.0,"Dirigenti di associazioni umanitarie, culturali, scientifiche e sportive di interesse nazionale o sovranazionale",1101.175,111,Legislators and senior officials,2.6315789473684212,2.6315789473684212,2.6315789473684212,2.6315789473684212,11.842105263157896,1.3157894736842106,18.42105263157895,56.578947368421055,38.1578947368421,40.78947368421053,82.89473684210526,82.89473684210526,77.63157894736842
1.1.2.3.2,Sovrintendenti al patrimonio culturale nazionale,29.00565958815,112,Managing directors and chief executives,4.6875,7.8125,7.8125,15.625,43.75,0,14.0625,53.125,32.8125,54.6875,87.5,89.0625,79.6875
1.1.2.4.1,"Direttori generali, dipartimentali ed equiparati delle amministrazioni dello stato, degli enti pubblici non economici e degli enti locali",11099.009074947851,112,Managing directors and chief executives,0,0,0,0,33.333333333333336,0,16.666666666666668,62.5,66.66666666666667,45.833333333333336,91.66666666666667,87.5,87.5
1.1.2.6.1,"Dirigenti ed equiparati delle amministrazioni dello stato, degli enti pubblici non economici e degli enti locali",13243.2577361035,112,Managing directors and chief executives,0,0,0,0,13.235294117647058,2.9411764705882355,11.764705882352942,58.8235294117647,51.470588235294116,52.94117647058823,83.82352941176471,86.76470588235294,82.3529411764706
1.2.1.2.0,"Imprenditori e amministratori di grandi aziende che operano nell'estrazione dei minerali, nella manifattura, nella produzione e distribuzione di energia elettrica, gas e acqua e nella gestione dei rifiuti",11684.275,112,Managing directors and chief executives,0,0,5,3.75,32.5,3.75,58.75,45,27.5,23.75,75,88.75,83.75
1.2.1.3.0,Imprenditori e amministratori di grandi aziende di costruzioni,4855.375,112,Managing directors and chief executives,7.142857142857143,2.380952380952381,8.333333333333334,7.142857142857143,26.19047619047619,1.1904761904761905,36.904761904761905,50,22.61904761904762,20.238095238095237,70.23809523809524,85.71428571428571,88.0952380952381
1.2.1.4.0,Imprenditori e amministratori di grandi aziende nel commercio,9397.425,112,Managing directors and chief executives,5.2631578947368425,7.894736842105263,2.6315789473684212,3.9473684210526314,19.736842105263158,3.9473684210526314,59.21052631578947,46.05263157894737,14.473684210526315,19.736842105263158,82.89473684210526,81.57894736842105,81.57894736842105
1.2.1.5.0,Imprenditori e amministratori di grandi aziende nei servizi di alloggio e ristorazione,3636.125,112,Managing directors and chief executives,11.842105263157896,10.526315789473685,6.578947368421052,6.578947368421052,28.94736842105263,3.9473684210526314,43.421052631578945,44.73684210526316,31.57894736842105,47.36842105263158,80.26315789473684,76.3157894736842,86.84210526315789
1.2.1.6.1,Imprenditori e amministratori di grandi aziende nel settore dei trasporti e magazzinaggio,1210.9630087864,112,Managing directors and chief executives,1.25,3.75,2.5,6.25,31.25,6.25,36.25,52.5,32.5,26.25,66.25,73.75,83.75
1.2.1.6.2,"Imprenditori e amministratori di grandi aziende nei servizi editoriali, di produzione cinematografica, radiofonica e televisiva",1076.4936589442,112,Managing directors and chief executives,8.75,5,2.5,2.5,7.5,8.75,46.25,53.75,38.75,42.5,83.75,86.25,80
1.2.1.6.3,Imprenditori e amministratori di grandi aziende nei servizi informatici e di telecomunicazione,904.3433322694001,112,Managing directors and chief executives,1.6666666666666667,1.6666666666666667,3.3333333333333335,1.6666666666666667,11.666666666666666,0,38.333333333333336,45,25,13.333333333333334,61.666666666666664,66.66666666666667,68.33333333333333
1.2.1.7.0,"Imprenditori e amministratori di grandi banche, assicurazioni, agenzie immobiliari, di intermediazione finanziaria",1725.55,112,Managing directors and chief executives,2.380952380952381,2.380952380952381,2.380952380952381,1.1904761904761905,4.761904761904762,0,29.761904761904763,54.76190476190476,33.333333333333336,30.952380952380953,77.38095238095238,79.76190476190476,84.52380952380952
1.2.1.8.0,Imprenditori e amministratori di grandi aziende nei servizi alle imprese e alle persone,4084.9,112,Managing directors and chief executives,3.3333333333333335,3.3333333333333335,1.6666666666666667,3.3333333333333335,5,0,15,43.333333333333336,20,15,71.66666666666667,73.33333333333333,76.66666666666667
1.2.3.1.0,Direttori e dirigenti del dipartimento finanza ed amministrazione,10018.35,121,Business services and administration managers,0.8620689655172413,1.7241379310344827,2.586206896551724,0.8620689655172413,3.4482758620689653,0,3.4482758620689653,44.827586206896555,10.344827586206897,3.4482758620689653,64.65517241379311,71.55172413793103,70.6896551724138
1.2.3.2.0,"Direttori e dirigenti del dipartimento organizzazione, gestione delle risorse umane e delle relazioni industriali",4654.875,121,Business services and administration managers,0,0,3.7037037037037037,3.7037037037037037,10.185185185185185,0,35.18518518518518,73.14814814814815,35.18518518518518,19.444444444444443,73.14814814814815,74.07407407407408,78.70370370370371
1.2.3.3.0,Direttori e dirigenti del dipartimento vendite e commercializzazione,18488.9,122,"Sales, marketing and development managers",5.434782608695652,14.130434782608695,5.434782608695652,17.391304347826086,34.78260869565217,3.260869565217391,58.69565217391305,33.69565217391305,19.565217391304348,23.91304347826087,68.47826086956522,76.08695652173913,82.6086956521739
1.2.3.4.0,"Direttori e dirigenti del dipartimento comunicazione, pubblicità e pubbliche relazioni",722.775,122,"Sales, marketing and development managers",0,2.5,0,8.75,15,2.5,61.25,43.75,17.5,41.25,67.5,77.5,78.75
1.2.3.7.0,Direttori e dirigenti del dipartimento ricerca e sviluppo,2929.95,122,"Sales, marketing and development managers",2.272727272727273,2.272727272727273,0,2.272727272727273,6.818181818181818,0,9.090909090909092,72.72727272727273,13.636363636363637,20.454545454545453,77.27272727272727,84.0909090909091,86.36363636363636
1.2.1.1.0,"Imprenditori e amministratori di grandi aziende che operano nell'agricoltura, nell'allevamento, nella silvicoltura, nella caccia e nella pesca",2853.7250000000004,131,"Production managers in agriculture, forestry and fisheries",28.94736842105263,25,28.94736842105263,31.57894736842105,53.94736842105263,36.8421052631579,57.89473684210526,35.526315789473685,25,32.89473684210526,65.78947368421052,71.05263157894737,68.42105263157895
1.2.2.1.0,"Direttori e dirigenti generali di aziende che operano nell'agricoltura, nell'allevamento, nella silvicoltura, nella caccia e nella pesca",402.875,131,"Production managers in agriculture, forestry and fisheries",30,30,25,25,50,20,25,50,20,15,80,75,65
1.2.2.2.0,"Direttori e dirigenti generali di aziende che operano nella manifattura, nell'estrazione dei minerali, nella produzione e distribuzione di energia elettrica, gas, acqua e nelle attività di gestione dei rifiuti",19325.15,132,"Manufacturing, mining, construction, and distribution managers",11.904761904761905,13.095238095238095,3.5714285714285716,7.142857142857143,32.142857142857146,5.9523809523809526,25,34.523809523809526,21.428571428571427,11.904761904761905,61.904761904761905,66.66666666666667,76.19047619047619
1.2.2.3.0,Direttori e dirigenti generali di aziende nelle costruzioni,2293.725,132,"Manufacturing, mining, construction, and distribution managers",2.5,2.5,3.75,5,18.75,0,20,43.75,15,26.25,66.25,80,73.75
1.2.2.6.1,Direttori e dirigenti generali di aziende nel settore dei trasporti e magazzinaggio,7072.425885222425,132,"Manufacturing, mining, construction, and distribution managers",13.235294117647058,8.823529411764707,5.882352941176471,14.705882352941176,27.941176470588236,2.9411764705882355,20.58823529411765,42.64705882352941,22.058823529411764,17.647058823529413,75,75,79.41176470588235
1.2.3.5.0,Direttori e dirigenti del dipartimento approvvigionamento e distribuzione,4620.175,132,"Manufacturing, mining, construction, and distribution managers",1.3157894736842106,0,0,2.6315789473684212,25,2.6315789473684212,42.10526315789474,35.526315789473685,13.157894736842104,10.526315789473685,65.78947368421052,82.89473684210526,82.89473684210526
